# name	status	verified	params(known)	write-shaped	purpose
# one method per line; full entry at https://vs.izie.top/redocumented/api/methods/<name>.json
activity.archive	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
activity.clearAll	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
activity.clearBefore	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
activity.feed	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
activity.feed.scoreEntries	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
activity.getEntries	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
activity.markAllRead	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
activity.markRead	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
activity.markUnread	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
activity.prefs.update	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
activity.unarchive	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
activity.views	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
activity.views.create	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
activity.views.delete	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
activity.views.hide	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
activity.views.unhide	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
activity.views.update	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
admin.accountType.permissions.add	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.accountType.permissions.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.accountType.permissions.orgEnforcements.add	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.accountType.permissions.orgEnforcements.remove	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.accountType.permissions.remove	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.accountType.permissions.set	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.activity.logs.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.advisor.recommendations.archive	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.advisor.recommendations.list	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.advisor.recommendations.unarchive	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.ai.connectorResources.list	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.ai.getAnalytics	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.ai.getAvailableDateRange	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.export	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.getAppsAnalytics	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.getAvailableDateRange	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.getCanvasAnalytics	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.getChannelAnalytics	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.getClipAnalytics	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.getFile	documented	docs-only	params	-	Retrieve analytics data for a given date, presented as a compressed JSON file
admin.analytics.getHuddleAnalytics	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.getListAnalytics	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.getMemberAnalytics	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.getWorkflowAnalytics	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.analytics.messages.activity	documented	docs-only	params	-	Retrieves activity metrics for messages from a given channel.
admin.analytics.messages.metadata	documented	docs-only	params	-	Retrieves metadata for a list of messages from a given channel.
admin.analytics.slackbot.dashboard	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.activities.list	documented	docs-only	params	-	Get logs for a specified team/org
admin.apps.allowlist.scopesRating.configure	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.allowlist.scopesRating.list	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.allowlistAutomation.rules.create	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.allowlistAutomation.rules.delete	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.allowlistAutomation.rules.list	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.allowlistAutomation.rules.reorder	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.allowlistAutomation.rules.update	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.approve	documented	docs-only (live-tested 2026-09-20, only error paths observed)	params	write	Approve an app for installation on a workspace.
admin.apps.approved.list	documented	live-verified	params	-	List approved apps for an org or workspace.
admin.apps.bulkApprove	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.bulkRestrict	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.certified.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.clearResolution	documented	live-verified	params	write	Clear an app resolution
admin.apps.config.lookup	documented	docs-only	params	-	Look up the app config for connectors by their IDs
admin.apps.config.set	documented	docs-only	params	write	Set the app config for a connector
admin.apps.domainWideAuth.addDomain	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.domainWideAuth.enable	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.domainWideAuth.google.getAdminInstallUrl	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.domainWideAuth.google.getAuthorizeUrl	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.getAiPrefs	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.installed.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.internal.list	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.lookup	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.mcp.servers.list	documented	docs-only	params	-	List third-party app MCP servers approved for an organization, derived from the org's MCP server allowlist. Entries reflect allowlist state, not install/scope liveness: servers of apps that are uninstalled (but not deleted) are still listed.
admin.apps.mcp.servers.permissions.list	documented	docs-only	params	-	List MCP servers for an app with their access control permissions
admin.apps.mcp.servers.permissions.set	documented	docs-only	params	write	Set the access control permission for who can use an MCP server
admin.apps.permissions.add	documented	docs-only	params	write	Grant permission for entities to access an app that has its permission type set to named_entities
admin.apps.permissions.list	documented	docs-only	params	-	Returns the permission type of an app and if applicable, includes the entities that have been granted access
admin.apps.permissions.remove	documented	docs-only	params	write	Revoke an entity's access to an app that has its permission type set to named_entities
admin.apps.permissions.set	documented	docs-only	params	write	Set the permission type for who can access an app
admin.apps.productivity.getBanner	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.productivity.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.recommend.add	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.recommend.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.recommend.remove	undocumented	existence-only (sample-checked)	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.requests.bulkCancel	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.requests.cancel	documented	docs-only (live-tested 2026-09-20, not_an_admin on every combination)	params	-	Cancel app request for team
admin.apps.requests.list	documented	live-verified	params	-	List app requests for a team/workspace.
admin.apps.restrict	documented	live-verified	params	write	Restrict an app for installation on a workspace.
admin.apps.restricted.list	documented	live-verified	params	-	List restricted apps for an org or workspace.
admin.apps.search	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.setAiPrefs	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.teamAccess.getConfig	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.teamAccess.grant	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.teamAccess.revoke	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
admin.apps.teamAccess.setConfig	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.apps.uninstall	documented	live-verified	params	-	Uninstall an app from one or many workspaces, or an entire enterprise organization.
admin.apps.updates.list	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.assistant.chat	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.audit.anomaly.allow.getItem	documented	docs-only	params	-	API to allow Enterprise org admins to read the allow list of IP blocks and ASNs from the enterprise configuration.
admin.audit.anomaly.allow.updateItem	documented	docs-only	params	write	API to allow Enterprise org admins to write/overwrite the allow list of IP blocks and ASNs from the enterprise configuration.
admin.audit.anomalyResponse.allow.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.audit.anomalyResponse.allow.set	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.auth.policy.assignEntities	documented	docs-only	params	write	Assign entities to a particular authentication policy.
admin.auth.policy.checkEntities	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.auth.policy.getEntities	documented	docs-only	params	-	Fetch all the entities assigned to a particular authentication policy by name.
admin.auth.policy.removeEntities	documented	docs-only	params	write	Remove specified entities from a specified authentication policy.
admin.barriers.create	documented	docs-only	params	write	Create an Information Barrier
admin.barriers.delete	documented	docs-only	params	write	Delete an existing Information Barrier
admin.barriers.list	documented	docs-only	params	-	Get all Information Barriers for your organization
admin.barriers.update	documented	docs-only	params	write	Update an existing Information Barrier
admin.billing.settings.boot	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.canvases.publishTemplate	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.canvases.unpublishTemplate	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.conversations.archive	documented	docs-only	params	write	Archive a public or private channel.
admin.conversations.bulkArchive	documented	docs-only	params	-	Archive public or private channels in bulk.
admin.conversations.bulkDelete	documented	docs-only	params	-	Delete public or private channels in bulk
admin.conversations.bulkMove	documented	docs-only	params	-	Move public or private channels in bulk.
admin.conversations.bulkSetExcludeFromSlackAi	documented	docs-only	params	-	Exclude channels from Slack AI in bulk
admin.conversations.bulkSetProperties	documented	docs-only	params	-	Set properties on channels in bulk.
admin.conversations.convertExternalLimited	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.conversations.convertToPrivate	documented	docs-only	params	write	Convert a public channel to a private channel.
admin.conversations.convertToPublic	documented	docs-only	params	write	Convert a private channel to a public channel.
admin.conversations.create	documented	docs-only	params	write	Create a public or private channel-based conversation.
admin.conversations.createForObjects	documented	docs-only	params	write	Create a Salesforce channel for the corresponding object provided.
admin.conversations.delete	documented	docs-only	params	write	Delete a public or private channel.
admin.conversations.disconnectShared	documented	docs-only	params	-	Disconnect a connected channel from one or more workspaces.
admin.conversations.ekm.listOriginalConnectedChannelInfo	documented	docs-only	params	-	List all disconnected channels—i.e., channels that were once connected to other workspaces and then disconnected—and the corresponding original channel IDs for key revocation with EKM.
admin.conversations.export	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.conversations.getConversationPrefs	documented	docs-only	params	-	Get conversation preferences for a public or private channel.
admin.conversations.getCustomRetention	documented	docs-only	params	-	This API endpoint can be used by any admin to get a conversation's retention policy.
admin.conversations.getFileCountByType	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.conversations.getTeams	documented	docs-only	params	-	Get all the workspaces a given public or private channel is connected to within this Enterprise org.
admin.conversations.invite	documented	docs-only	params	write	Invite a user to a public or private channel.
admin.conversations.kick	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.conversations.linkObjects	documented	docs-only	params	-	Link a Salesforce record to a channel
admin.conversations.listOrgWide	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.conversations.lookup	documented	docs-only	params	-	Returns channels on the given team using the filters.
admin.conversations.remove	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.conversations.removeCustomRetention	documented	docs-only	params	write	This API endpoint can be used by any admin to remove a conversation's retention policy.
admin.conversations.rename	documented	docs-only	params	write	Rename a public or private channel.
admin.conversations.restrictAccess.addGroup	documented	docs-only	params	write	Add an allowlist of IDP groups for accessing a channel
